id2;ns3:Name;value;ns3:Description
MEASURES_;Показатели;Eod31299PCount;"Показатель """" в процентах от показателя ""Число организаций"""
MEASURES_;Показатели;CountD1000;Число организаций, тыс.
MEASURES_;Показатели;Eod01158D1000;в I полугодии 2016 года -Да, тыс.
MEASURES_;Показатели;Eod01158PCount;"Показатель ""в I полугодии 2016 года -Да"" в процентах от показателя ""Число организаций"""
MEASURES_;Показатели;Eod31127D1000;, тыс.
MEASURES_;Показатели;Eod31127PEod01158;"Показатель """" в процентах от показателя ""в I полугодии 2016 года -Да"""
MEASURES_;Показатели;Eod31128D1000;, тыс.
MEASURES_;Показатели;Eod31128PEod01158;"Показатель """" в процентах от показателя ""в I полугодии 2016 года -Да"""
MEASURES_;Показатели;Eod31267D1000;, тыс.
MEASURES_;Показатели;Eod31267PEod01158;"Показатель """" в процентах от показателя ""в I полугодии 2016 года -Да"""
MEASURES_;Показатели;Eod31299D1000;, тыс.
Dim_Year_Code;Раунд переписи;2016;по результатам Всероссийской Сельскохозяйственной Переписи 2016 года
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);94000000000;Муниципальные образования Удмуртской Республики
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);95000000000;Муниципальные образования Республики Хакасии
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);99000000000;Муниципальные образования Еврейской автономной области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);98000000000;Муниципальные образования Республики Саха (Якутия)
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);97000000000;Муниципальные образования Чувашской Республики - Чувашии
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);96000000000;Муниципальные образования Чеченской Республики
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);81000000000;Муниципальные образования Республики Бурятии
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);82000000000;Муниципальные образования Республики Дагестан
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);92000000000;Муниципальные образования Республики Татарстан (Татарстана)
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);93000000000;Муниципальные образования Республики Тывы
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);91000000000;Муниципальные образования Карачаево-Черкесской Республики
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);90000000000;Муниципальные образования Республики Северная Осетия-Алания
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);89000000000;Муниципальные образования Республики Мордовии
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);87000000000;Муниципальные образования Республики Коми
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);88000000000;Муниципальные образования Республики Марий Эл
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);86000000000;Муниципальные образования Республики Карелии
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);85000000000;Муниципальные образования Республики Калмыкии
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);84000000000;Муниципальные образования Республики Алтай
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);83000000000;Муниципальные образования Кабардино-Балкарской Республики
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);71900000000;Муниципальные районы и городские округа Ямало-Ненецкого автономного округа
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);71800000000;Муниципальные районы и городские округа Ханты-Мансийского автономного округа - Югры
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);69000000000;Муниципальные образования Томской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);70000000000;Муниципальные образования Тульской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);68000000000;Муниципальные образования Тамбовской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);67000000000;Муниципальные образования города федерального значения Севастополя
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);71001000000;Тюменская область (без автономных округов)
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);71000000000;Муниципальные образования Тюменской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);60000000000;Муниципальные образования Ростовской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);78000000000;Муниципальные образования Ярославской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);77000000000;Муниципальные образования Чукотского автономного округа
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);80000000000;Муниципальные образования Республики Башкортостан
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);79000000000;Муниципальные образования Республики Адыгеи (Адыгеи)
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);58000000000;Муниципальные образования Псковской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);76000000000;Муниципальные образования Забайкальского края
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);75000000000;Муниципальные образования Челябинской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);73000000000;Муниципальные образования Ульяновской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);66000000000;Муниципальные образования Смоленской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);53000000000;Муниципальные образования Оренбургской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);52000000000;Муниципальные образования Омской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);50000000000;Муниципальные образования Новосибирской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);42000000000;Муниципальные образования Липецкой области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);44000000000;Муниципальные образования Магаданской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);65000000000;Муниципальные образования Свердловской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);64000000000;Муниципальные образования Сахалинской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);63000000000;Муниципальные образования Саратовской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);61000000000;Муниципальные образования Рязанской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);36000000000;Муниципальные образования Самарской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);37000000000;Муниципальные образования Курганской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);57800000000;Муниципальные районы и городские округа Пермского края, входящие в состав Коми-Пермяцкого округа
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);57000000000;Муниципальные образования Пермского края
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);56000000000;Муниципальные образования Пензенской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);54000000000;Муниципальные образования Орловской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);35000000000;Муниципальные образования Республики Крым
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);34000000000;Муниципальные образования Костромской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);33000000000;Муниципальные образования Кировской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);32000000000;Муниципальные образования Кемеровской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);30800000000;Муниципальные районы и городские округа Камчатского края, входящие в состав Корякского округа
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);26000000000;Муниципальные образования Республики Ингушетии
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);27000000000;Муниципальные образования Калининградской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);49000000000;Муниципальные образования Новгородской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);47000000000;Муниципальные образования Мурманской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);46000000000;Муниципальные образования Московской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);45000000000;Муниципальные образования города Москвы (столицы Российской Федерации города федерального значения)
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);30000000000;Муниципальные образования Камчатского края
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);29000000000;Муниципальные образования Калужской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);28000000000;Муниципальные образования Тверской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);18000000000;Муниципальные образования Волгоградской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);19000000000;Муниципальные образования Вологодской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);41000000000;Муниципальные образования Ленинградской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);40000000000;Муниципальные образования Города Санкт-Петербурга (города федерального значения)
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);38000000000;Муниципальные образования Курской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);11001000000;Архангельская область (без автономного округа)
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);11000000000;Муниципальные образования Архангельской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);25000000000;Муниципальные образования Иркутской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);24000000000;Муниципальные образования Ивановской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);22000000000;Муниципальные образования Нижегородской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);20000000000;Муниципальные образования Воронежской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);15000000000;Муниципальные образования Брянской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);17000000000;Муниципальные образования Владимирской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);14000000000;Муниципальные образования Белгородской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);12000000000;Муниципальные образования Астраханской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);11800000000;Муниципальные образования Ненецкого автономного округа
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);37;ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);00000000037_35000000000_67000000000;ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ (на 27 июля 2016 года)
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);35;СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);10000000000;Муниципальные образования Амурской области
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);8000000000;Муниципальные образования Хабаровского края
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);7000000000;Муниципальные образования Ставропольского края
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);5000000000;Муниципальные образования Приморского края
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);4000000000;Муниципальные образования Красноярского края
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);38;СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);39;КРЫМСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);3000000000;Муниципальные образования Краснодарского края
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);1000000000;Муниципальные образования Алтайского края
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);643;Муниципальные образования Российской Федерации
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);34;УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);33;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);31;СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);30;ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
Oktmo_Parent;ОКТМО (по состоянию на 1 января 2016 года);36;ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
Category_Parent;Категория хозяйства;9;Личные подсобные хозяйства и другие индивидуальные хозяйства граждан - всего
Category_Parent;Категория хозяйства;22;личные подсобные хозяйства - всего
Category_Parent;Категория хозяйства;24;граждане, имеющие земельные участки для индивидуального жилищного строительства - всего
Category_Parent;Категория хозяйства;117;граждане, имеющие земельные участки (садовые, огородные, дачные и другие), не входящие в объединения - всего
Category_Parent;Категория хозяйства;27;граждане, не имеющие земли, но имеющие сельскохозяйственных животных - всего
Category_Gor_Sel;Каетгории личных подсобных хозяйств;1;хозяйства граждан в городских округах и городских поселениях
Category_Gor_Sel;Каетгории личных подсобных хозяйств;All;Число хозяйств - всего
Category_Gor_Sel;Каетгории личных подсобных хозяйств;2;хозяйства граждан в сельских поселениях
